Deuterium exports,Deuterium inventory,Fixed plant power,Fusion Fleet Gross Electric,Imports,Fusion Fleet Net Electric,Fusion Fleet Thermal Power,Fusion Fleet Magnet & station power,Salt Heating,Tritium exports,Fusion Fleet Tritium Inventory,Var plant power,,Fusion Fleet Fusion Power
-31167.23672,0,654.4367108,12440.59256,7.10E-16,8534.093631,31163.6529,3906.498933,1.93E-11,1.83E-12,195543.5361,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.08E-16,8534.093631,31163.6529,3906.498933,1.85E-11,-2.09E-11,198656.3176,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.17E-16,8534.093631,31163.6529,3906.498933,1.68E-11,-1.59E-11,201769.099,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.11E-16,8534.093631,31163.6529,3906.498933,1.67E-11,-4.54E-12,204881.8805,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.26E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-2.45E-11,207994.662,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.29E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-2.64E-11,211107.4435,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.27E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.95E-11,214220.2249,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.17E-16,8534.093631,31163.6529,3906.498933,1.62E-11,-1.55E-11,217333.0064,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.31E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.50E-11,220445.7879,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.25E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-6.36E-12,223558.5693,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.37E-16,8534.093631,31163.6529,3906.498933,1.68E-11,9.21E-13,226671.3508,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.25E-16,8534.093631,31163.6529,3906.498933,1.92E-11,-2.23E-11,229784.1323,2596.971075,,23972.04069
