Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,commercial_pv_2,residential_pv_2
119,0.262,1,0.0,0.178609286,1,0.350849921,1,1,0.552743642,1,1,0.350849921,0.0,0.0
120,0.262,1,0.0,0.222986208,1,0.417995247,1,1,0.552743642,1,1,0.417995247,0.0,0.0
121,0.262,1,0.0,0.212080329,1,0.300593575,1,1,0.552743642,1,1,0.300593575,0.0,0.0
122,0.262,1,0.0,0.276725717,1,0.410665095,1,1,0.552743642,1,1,0.410665095,0.0,0.0
123,0.262,1,0.0,0.246746295,1,0.382230948,1,1,0.552743642,1,1,0.382230948,0.0,0.0
124,0.262,1,0.0,0.292366648,1,0.27606829,1,1,0.552743642,1,1,0.27606829,0.0,0.0
125,0.262,1,0.0,0.237156184,1,0.299512024,1,1,0.552743642,1,1,0.299512024,0.0,0.0
126,0.262,1,0.0,0.187139192,1,0.276187948,1,1,0.552743642,1,1,0.276187948,0.0,0.0
127,0.262,1,0.0,0.161114431,1,0.243923375,1,1,0.552743642,1,1,0.243923375,0.0,0.0
128,0.262,1,0.0,0.253524403,1,0.278013882,1,1,0.552743642,1,1,0.278013882,0.0,0.0
129,0.262,1,0.00475116,0.144749062,1,0.404139449,1,1,0.552743642,1,1,0.404139449,0.0027828222857142855,0.0025282958571428565
130,0.262,1,0.061601344,0.250179721,1,0.659583506,1,1,0.552743642,1,1,0.659583506,0.0360807872,0.0327807152
131,0.262,1,0.204643067,0.296788089,1,0.767751017,1,1,0.552743642,1,1,0.767751017,0.1198623678142857,0.10889934636785713
132,0.262,1,0.206129674,0.388784249,1,0.797466216,1,1,0.552743642,1,1,0.797466216,0.12073309477142856,0.1096904336642857
133,0.262,1,0.324061169,0.391774638,1,0.798632983,1,1,0.552743642,1,1,0.798632983,0.18980725612857138,0.17244683636071423
134,0.262,1,0.17490615,0.517456049,1,0.802441851,1,1,0.552743642,1,1,0.802441851,0.1024450307142857,0.09307505839285712
135,0.262,1,0.074939302,0.618209809,1,0.809649871,1,1,0.552743642,1,1,0.809649871,0.043893019742857135,0.03987841427857142
136,0.262,1,0.017999882,0.623589775,1,0.802060016,1,1,0.552743642,1,1,0.802060016,0.010542788028571426,0.009578508635714283
137,0.262,1,0.0,0.515781898,1,0.794974681,1,1,0.552743642,1,1,0.794974681,0.0,0.0
138,0.262,1,0.0,0.513767471,1,0.809631314,1,1,0.552743642,1,1,0.809631314,0.0,0.0
139,0.262,1,0.0,0.483819319,1,0.808174581,1,1,0.552743642,1,1,0.808174581,0.0,0.0
140,0.262,1,0.0,0.547517018,1,0.805669372,1,1,0.552743642,1,1,0.805669372,0.0,0.0
141,0.262,1,0.0,0.469819669,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
142,0.262,1,0.0,0.444333539,1,0.801531138,1,1,0.552743642,1,1,0.801531138,0.0,0.0
143,0.262,1,0.0,0.519186709,1,0.803906447,1,1,0.552743642,1,1,0.803906447,0.0,0.0
144,0.262,1,0.0,0.465675125,1,0.805474522,1,1,0.552743642,1,1,0.805474522,0.0,0.0
145,0.262,1,0.0,0.437234651,1,0.805734322,1,1,0.552743642,1,1,0.805734322,0.0,0.0
146,0.262,1,0.0,0.456864307,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
147,0.262,1,0.0,0.484812371,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
148,0.262,1,0.0,0.501835376,1,0.804760074,1,1,0.552743642,1,1,0.804760074,0.0,0.0
149,0.262,1,0.0,0.461174541,1,0.806170414,1,1,0.552743642,1,1,0.806170414,0.0,0.0
150,0.262,1,0.0,0.428514188,1,0.797992719,1,1,0.552743642,1,1,0.797992719,0.0,0.0
151,0.262,1,0.0,0.435409215,1,0.733545724,1,1,0.552743642,1,1,0.733545724,0.0,0.0
152,0.262,1,0.034934594,0.465969228,1,0.658410216,1,1,0.552743642,1,1,0.658410216,0.020461690771428568,0.01859019466428571
153,0.262,1,0.175912458,0.468411924,1,0.600943476,1,1,0.552743642,1,1,0.600943476,0.10303443968571427,0.09361055800714284
154,0.262,1,0.272039768,0.428784672,1,0.557191976,1,1,0.552743642,1,1,0.557191976,0.15933757839999999,0.14476401939999997
155,0.262,1,0.746953872,0.370664397,1,0.582008374,1,1,0.552743642,1,1,0.582008374,0.4375015535999999,0.3974861675999999
156,0.262,1,0.8256,0.316227676,1,0.509995122,1,1,0.552743642,1,1,0.509995122,0.4835657142857142,0.43933714285714276
157,0.262,1,0.8256,0.291187446,1,0.440189595,1,1,0.552743642,1,1,0.440189595,0.4835657142857142,0.43933714285714276
158,0.262,1,0.809159834,0.237141859,1,0.364099692,1,1,0.552743642,1,1,0.364099692,0.47393647419999996,0.4305886259499999
159,0.262,1,0.584922181,0.215093285,1,0.297768013,1,1,0.552743642,1,1,0.297768013,0.3425972774428571,0.31126216060357137
160,0.262,1,0.283551464,0.247231046,1,0.245895325,1,1,0.552743642,1,1,0.245895325,0.16608014319999997,0.15088988619999996
161,0.262,1,0.0,0.211594884,1,0.136208845,1,1,0.552743642,1,1,0.136208845,0.0,0.0
162,0.262,1,0.0,0.130700553,1,0.069601005,1,1,0.552743642,1,1,0.069601005,0.0,0.0
163,0.262,1,0.0,0.07875211,1,0.065938363,1,1,0.552743642,1,1,0.065938363,0.0,0.0
164,0.262,1,0.0,0.056485082,1,0.067494848,1,1,0.552743642,1,1,0.067494848,0.0,0.0
165,0.262,1,0.0,0.01296405,1,0.072260287,1,1,0.552743642,1,1,0.072260287,0.0,0.0
166,0.262,1,0.0,0.030470651,1,0.040806655,1,1,0.552743642,1,1,0.040806655,0.0,0.0
167,0.262,1,0.0,0.00543119,1,0.06684813,1,1,0.552743642,1,1,0.06684813,0.0,0.0
168,0.262,1,0.0,0.048820142,1,0.05792482,1,1,0.552743642,1,1,0.05792482,0.0,0.0
169,0.262,1,0.0,0.092846534,1,0.053790289,1,1,0.552743642,1,1,0.053790289,0.0,0.0
170,0.262,1,0.0,0.155171765,1,0.067245252,1,1,0.552743642,1,1,0.067245252,0.0,0.0
171,0.262,1,0.0,0.147554605,1,0.040782526,1,1,0.552743642,1,1,0.040782526,0.0,0.0
172,0.262,1,0.0,0.120851001,1,0.052645778,1,1,0.552743642,1,1,0.052645778,0.0,0.0
173,0.262,1,0.0,0.070889261,1,0.074075726,1,1,0.552743642,1,1,0.074075726,0.0,0.0
174,0.262,1,0.0,0.069438166,1,0.081423481,1,1,0.552743642,1,1,0.081423481,0.0,0.0
175,0.262,1,0.0,0.142343934,1,0.22071855,1,1,0.552743642,1,1,0.22071855,0.0,0.0
176,0.262,1,0.03283658,0.198424897,1,0.189600822,1,1,0.552743642,1,1,0.189600822,0.019232853999999997,0.017473751499999995
