Time_Index,natural_gas,solar_pv,onshore_wind,battery,offshore_wind,natural_gas_ccs,nuclear,fusion,ROR_NY,Res_QC
182,1,0.116475,0.7226,1,0.2043,1,1,1,0.552743642,6.26E-05
183,1,0.284732,0.7297,1,0.2141,1,1,1,0.552743642,6.26E-05
184,1,0.484396,0.7581,1,0.2158,1,1,1,0.552743642,6.26E-05
185,1,0.587814,0.7086,1,0.2621,1,1,1,0.552743642,6.26E-05
186,1,0.491493,0.7429,1,0.2896,1,1,1,0.552743642,6.26E-05
187,1,0.466572,0.7824,1,0.3558,1,1,1,0.552743642,6.26E-05
188,1,0.289899,0.744,1,0.4346,1,1,1,0.552743642,6.26E-05
189,1,0.064585,0.6604,1,0.4933,1,1,1,0.552743642,6.26E-05
190,1,0.006801,0.675,1,0.5331,1,1,1,0.552743642,6.26E-05
191,1,0,0.6615,1,0.5485,1,1,1,0.552743642,6.26E-05
192,1,0,0.6835,1,0.5807,1,1,1,0.552743642,6.26E-05
193,1,0,0.6742,1,0.5848,1,1,1,0.552743642,6.26E-05
194,1,0,0.7002,1,0.5963,1,1,1,0.552743642,6.26E-05
195,1,0,0.6901,1,0.5953,1,1,1,0.552743642,6.26E-05
196,1,0,0.6824,1,0.523,1,1,1,0.552743642,6.26E-05
197,1,0,0.6891,1,0.4976,1,1,1,0.552743642,6.26E-05
198,1,0,0.6438,1,0.5278,1,1,1,0.552743642,6.26E-05
199,1,0,0.6244,1,0.5818,1,1,1,0.552743642,6.26E-05
200,1,0,0.4821,1,0.6883,1,1,1,0.552743642,6.26E-05
201,1,0,0.4165,1,0.6333,1,1,1,0.552743642,6.26E-05
202,1,0,0.3637,1,0.7084,1,1,1,0.552743642,6.26E-05
203,1,0,0.3735,1,0.6653,1,1,1,0.552743642,6.26E-05
204,1,0,0.3821,1,0.6355,1,1,1,0.552743642,6.26E-05
205,1,0.0066,0.4235,1,0.7055,1,1,1,0.552743642,6.26E-05
206,1,0.113073,0.4189,1,0.7408,1,1,1,0.552743642,6.26E-05
207,1,0.189447,0.4052,1,0.768,1,1,1,0.552743642,6.26E-05
208,1,0.405088,0.469,1,0.7823,1,1,1,0.552743642,6.26E-05
209,1,0.505329,0.5883,1,0.7983,1,1,1,0.552743642,6.26E-05
210,1,0.400529,0.659,1,0.7867,1,1,1,0.552743642,6.26E-05
211,1,0.35902,0.6979,1,0.815,1,1,1,0.552743642,6.26E-05
212,1,0.234609,0.6665,1,0.8071,1,1,1,0.552743642,6.26E-05
213,1,0.077548,0.6542,1,0.7711,1,1,1,0.552743642,6.26E-05
214,1,0.007601,0.641,1,0.7354,1,1,1,0.552743642,6.26E-05
215,1,0,0.6624,1,0.7153,1,1,1,0.552743642,6.26E-05
216,1,0,0.6314,1,0.7789,1,1,1,0.552743642,6.26E-05
217,1,0,0.6023,1,0.7907,1,1,1,0.552743642,6.26E-05
218,1,0,0.6179,1,0.776,1,1,1,0.552743642,6.26E-05
219,1,0,0.6638,1,0.7577,1,1,1,0.552743642,6.26E-05
220,1,0,0.6144,1,0.7217,1,1,1,0.552743642,6.26E-05
221,1,0,0.6285,1,0.6842,1,1,1,0.552743642,6.26E-05
222,1,0,0.6436,1,0.6936,1,1,1,0.552743642,6.26E-05
223,1,0,0.6471,1,0.6515,1,1,1,0.552743642,6.26E-05
224,1,0,0.5388,1,0.6279,1,1,1,0.552743642,6.26E-05
225,1,0,0.5034,1,0.5959,1,1,1,0.552743642,6.26E-05
226,1,0,0.5201,1,0.5824,1,1,1,0.552743642,6.26E-05
227,1,0,0.4229,1,0.4884,1,1,1,0.552743642,6.26E-05
228,1,0,0.3915,1,0.3989,1,1,1,0.552743642,6.26E-05
229,1,0.010999,0.3291,1,0.3405,1,1,1,0.552743642,6.26E-05
230,1,0.121737,0.2734,1,0.313,1,1,1,0.552743642,6.26E-05
231,1,0.227214,0.246,1,0.2758,1,1,1,0.552743642,6.26E-05
232,1,0.494481,0.2537,1,0.2638,1,1,1,0.552743642,6.26E-05
233,1,0.586577,0.2722,1,0.2532,1,1,1,0.552743642,6.26E-05
234,1,0.389875,0.4119,1,0.2599,1,1,1,0.552743642,6.26E-05
235,1,0.411343,0.4191,1,0.2659,1,1,1,0.552743642,6.26E-05
236,1,0.260958,0.4515,1,0.2804,1,1,1,0.552743642,6.26E-05
237,1,0.108491,0.5012,1,0.3044,1,1,1,0.552743642,6.26E-05
238,1,0.006999,0.5218,1,0.2644,1,1,1,0.552743642,6.26E-05
239,1,0,0.443,1,0.1946,1,1,1,0.552743642,6.26E-05
240,1,0,0.3827,1,0.142,1,1,1,0.552743642,6.26E-05
241,1,0,0.4415,1,0.0796,1,1,1,0.552743642,6.26E-05
242,1,0,0.4076,1,0.057,1,1,1,0.552743642,6.26E-05
243,1,0,0.3896,1,0.0409,1,1,1,0.552743642,6.26E-05
244,1,0,0.482,1,0.0319,1,1,1,0.552743642,6.26E-05
245,1,0,0.5239,1,0.0233,1,1,1,0.552743642,6.26E-05
246,1,0,0.4358,1,0.0203,1,1,1,0.552743642,6.26E-05
247,1,0,0.384,1,0.0306,1,1,1,0.552743642,6.26E-05
248,1,0,0.4213,1,0.0499,1,1,1,0.552743642,6.26E-05
249,1,0,0.3001,1,0.0581,1,1,1,0.552743642,6.26E-05
250,1,0,0.2308,1,0.063,1,1,1,0.552743642,6.26E-05
251,1,0,0.1428,1,0.0677,1,1,1,0.552743642,6.26E-05
252,1,0,0.0725,1,0.1042,1,1,1,0.552743642,6.26E-05
253,1,0.005798,0.0536,1,0.1133,1,1,1,0.552743642,6.26E-05
254,1,0.052656,0.04,1,0.0978,1,1,1,0.552743642,6.26E-05
255,1,0.110692,0.0156,1,0.1017,1,1,1,0.552743642,6.26E-05
256,1,0.158824,0.0254,1,0.1195,1,1,1,0.552743642,6.26E-05
257,1,0.135173,0.05,1,0.1421,1,1,1,0.552743642,6.26E-05
258,1,0.112844,0.0999,1,0.2049,1,1,1,0.552743642,6.26E-05
259,1,0.075976,0.1212,1,0.2167,1,1,1,0.552743642,6.26E-05
260,1,0.053302,0.1246,1,0.2204,1,1,1,0.552743642,6.26E-05
261,1,0.029624,0.1485,1,0.2164,1,1,1,0.552743642,6.26E-05
262,1,0.003,0.1267,1,0.2099,1,1,1,0.552743642,6.26E-05
263,1,0,0.1673,1,0.2456,1,1,1,0.552743642,6.26E-05
264,1,0,0.1782,1,0.2781,1,1,1,0.552743642,6.26E-05
265,1,0,0.1831,1,0.2942,1,1,1,0.552743642,6.26E-05
266,1,0,0.1832,1,0.2881,1,1,1,0.552743642,6.26E-05
267,1,0,0.1773,1,0.2892,1,1,1,0.552743642,6.26E-05
268,1,0,0.197,1,0.2912,1,1,1,0.552743642,6.26E-05
269,1,0,0.221,1,0.3038,1,1,1,0.552743642,6.26E-05
270,1,0,0.1829,1,0.304,1,1,1,0.552743642,6.26E-05
271,1,0,0.1987,1,0.3195,1,1,1,0.552743642,6.26E-05
272,1,0,0.21,1,0.2832,1,1,1,0.552743642,6.26E-05
273,1,0,0.1484,1,0.2878,1,1,1,0.552743642,6.26E-05
274,1,0,0.1222,1,0.251,1,1,1,0.552743642,6.26E-05
275,1,0,0.1103,1,0.1986,1,1,1,0.552743642,6.26E-05
276,1,0,0.1044,1,0.1393,1,1,1,0.552743642,6.26E-05
277,1,0.0072,0.0663,1,0.1154,1,1,1,0.552743642,6.26E-05
278,1,0.082589,0.0832,1,0.0824,1,1,1,0.552743642,6.26E-05
279,1,0.160539,0.0876,1,0.06,1,1,1,0.552743642,6.26E-05
280,1,0.370135,0.1132,1,0.0543,1,1,1,0.552743642,6.26E-05
281,1,0.399777,0.1188,1,0.0622,1,1,1,0.552743642,6.26E-05
282,1,0.456099,0.1451,1,0.0676,1,1,1,0.552743642,6.26E-05
283,1,0.236564,0.1979,1,0.0657,1,1,1,0.552743642,6.26E-05
284,1,0.173669,0.182,1,0.0625,1,1,1,0.552743642,6.26E-05
285,1,0.072771,0.1805,1,0.0547,1,1,1,0.552743642,6.26E-05
286,1,0.0072,0.158,1,0.0596,1,1,1,0.552743642,6.26E-05
287,1,0,0.1765,1,0.0659,1,1,1,0.552743642,6.26E-05
288,1,0,0.2,1,0.0723,1,1,1,0.552743642,6.26E-05
289,1,0,0.3518,1,0.0642,1,1,1,0.552743642,6.26E-05
290,1,0,0.3187,1,0.0784,1,1,1,0.552743642,6.26E-05
291,1,0,0.274,1,0.0879,1,1,1,0.552743642,6.26E-05
292,1,0,0.2391,1,0.1068,1,1,1,0.552743642,6.26E-05
293,1,0,0.2737,1,0.1166,1,1,1,0.552743642,6.26E-05
294,1,0,0.1624,1,0.1043,1,1,1,0.552743642,6.26E-05
295,1,0,0.1467,1,0.098,1,1,1,0.552743642,6.26E-05
296,1,0,0.0755,1,0.0821,1,1,1,0.552743642,6.26E-05
297,1,0,0.0836,1,0.0694,1,1,1,0.552743642,6.26E-05
298,1,0,0.0979,1,0.0541,1,1,1,0.552743642,6.26E-05
299,1,0,0.0717,1,0.043,1,1,1,0.552743642,6.26E-05
300,1,0,0.0681,1,0.0324,1,1,1,0.552743642,6.26E-05
301,1,0.010787,0.0511,1,0.0279,1,1,1,0.552743642,6.26E-05
302,1,0.101831,0.0671,1,0.0259,1,1,1,0.552743642,6.26E-05
303,1,0.223557,0.0783,1,0.032,1,1,1,0.552743642,6.26E-05
304,1,0.352523,0.0995,1,0.0423,1,1,1,0.552743642,6.26E-05
305,1,0.364583,0.1236,1,0.0711,1,1,1,0.552743642,6.26E-05
306,1,0.239408,0.1585,1,0.1081,1,1,1,0.552743642,6.26E-05
307,1,0.146846,0.1868,1,0.1468,1,1,1,0.552743642,6.26E-05
308,1,0.109317,0.2067,1,0.1807,1,1,1,0.552743642,6.26E-05
309,1,0.048428,0.2384,1,0.246,1,1,1,0.552743642,6.26E-05
310,1,0.0076,0.1979,1,0.2811,1,1,1,0.552743642,6.26E-05
311,1,0,0.2527,1,0.2814,1,1,1,0.552743642,6.26E-05
312,1,0,0.2393,1,0.2632,1,1,1,0.552743642,6.26E-05
313,1,0,0.1994,1,0.2316,1,1,1,0.552743642,6.26E-05
314,1,0,0.2111,1,0.2319,1,1,1,0.552743642,6.26E-05
315,1,0,0.2648,1,0.26,1,1,1,0.552743642,6.26E-05
316,1,0,0.1963,1,0.2693,1,1,1,0.552743642,6.26E-05
317,1,0,0.1536,1,0.2906,1,1,1,0.552743642,6.26E-05
318,1,0,0.164,1,0.301,1,1,1,0.552743642,6.26E-05
319,1,0,0.1651,1,0.3616,1,1,1,0.552743642,6.26E-05
320,1,0,0.1564,1,0.3529,1,1,1,0.552743642,6.26E-05
321,1,0,0.1459,1,0.2995,1,1,1,0.552743642,6.26E-05
322,1,0,0.0923,1,0.2323,1,1,1,0.552743642,6.26E-05
323,1,0,0.0335,1,0.157,1,1,1,0.552743642,6.26E-05
324,1,0,0.0286,1,0.126,1,1,1,0.552743642,6.26E-05
325,1,0.0036,0.0161,1,0.0904,1,1,1,0.552743642,6.26E-05
326,1,0.025162,0.0109,1,0.0802,1,1,1,0.552743642,6.26E-05
327,1,0.056989,0.0066,1,0.0741,1,1,1,0.552743642,6.26E-05
328,1,0.110767,0.0064,1,0.0787,1,1,1,0.552743642,6.26E-05
329,1,0.139843,0.0154,1,0.0645,1,1,1,0.552743642,6.26E-05
330,1,0.115571,0.0332,1,0.0714,1,1,1,0.552743642,6.26E-05
331,1,0.084424,0.0362,1,0.0656,1,1,1,0.552743642,6.26E-05
332,1,0.068667,0.0503,1,0.0677,1,1,1,0.552743642,6.26E-05
333,1,0.022844,0.0544,1,0.0772,1,1,1,0.552743642,6.26E-05
334,1,0.007601,0.0736,1,0.0881,1,1,1,0.552743642,6.26E-05
335,1,0,0.0542,1,0.1051,1,1,1,0.552743642,6.26E-05
336,1,0,0.0598,1,0.1207,1,1,1,0.552743642,6.26E-05
337,1,0,0.0835,1,0.1842,1,1,1,0.552743642,6.26E-05
338,1,0,0.1016,1,0.2154,1,1,1,0.552743642,6.26E-05
339,1,0,0.1252,1,0.2646,1,1,1,0.552743642,6.26E-05
340,1,0,0.1249,1,0.331,1,1,1,0.552743642,6.26E-05
341,1,0,0.1338,1,0.3686,1,1,1,0.552743642,6.26E-05
342,1,0,0.1243,1,0.4146,1,1,1,0.552743642,6.26E-05
343,1,0,0.0963,1,0.4382,1,1,1,0.552743642,6.26E-05
344,1,0,0.1054,1,0.4961,1,1,1,0.552743642,6.26E-05
345,1,0,0.0808,1,0.4888,1,1,1,0.552743642,6.26E-05
346,1,0,0.0637,1,0.4537,1,1,1,0.552743642,6.26E-05
347,1,0,0.0489,1,0.4398,1,1,1,0.552743642,6.26E-05
348,1,0,0.0406,1,0.4496,1,1,1,0.552743642,6.26E-05
349,1,0.007794,0.0364,1,0.4457,1,1,1,0.552743642,6.26E-05
350,1,0.05849,0.0343,1,0.4406,1,1,1,0.552743642,6.26E-05
351,1,0.194101,0.0381,1,0.4327,1,1,1,0.552743642,6.26E-05
352,1,0.231125,0.0592,1,0.4301,1,1,1,0.552743642,6.26E-05
353,1,0.30197,0.0657,1,0.4748,1,1,1,0.552743642,6.26E-05
354,1,0.222527,0.0994,1,0.5136,1,1,1,0.552743642,6.26E-05
355,1,0.136233,0.112,1,0.5054,1,1,1,0.552743642,6.26E-05
356,1,0.061915,0.1506,1,0.5328,1,1,1,0.552743642,6.26E-05
357,1,0.026179,0.1884,1,0.5757,1,1,1,0.552743642,6.26E-05
358,1,0.007199,0.2269,1,0.6542,1,1,1,0.552743642,6.26E-05
359,1,0,0.2386,1,0.7428,1,1,1,0.552743642,6.26E-05
360,1,0,0.2524,1,0.7814,1,1,1,0.552743642,6.26E-05
361,1,0,0.3195,1,0.807,1,1,1,0.552743642,6.26E-05
