Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,187,34059.9,2990.67511,4325.81908,1950.75254,10451.7796,2779.36503,6171.95708
,,,,,,,188,33586.1,2965.00014,4276.77871,1927.65525,10410.6303,2771.30568,6114.64163
,,,,,,,189,32908.0,2863.94405,4148.04688,1876.03544,9925.63475,2662.55674,5850.55534
,,,,,,,190,32511.4,2750.89613,3977.34967,1825.84605,9358.0449,2614.76434,5634.3059
,,,,,,,191,31053.1,2543.39201,3752.12184,1723.24783,8680.10098,2463.2896,5250.29002
,,,,,,,192,29740.4,2341.85073,3348.84393,1523.56535,7621.16032,2252.19347,4653.70074
,,,,,,,193,29642.4,2032.16377,3153.04787,1423.38695,6311.85271,2035.52999,4046.92175
,,,,,,,194,29902.7,1955.13084,3056.1425,1374.18786,5961.62497,1921.91654,3812.02416
,,,,,,,195,29718.3,1945.82421,3079.98534,1356.92344,5734.62342,1905.01558,3697.4909
,,,,,,,196,30146.1,1974.5543,3144.74015,1350.23496,5716.77,1971.31341,3740.60707
,,,,,,,197,30271.7,2023.23571,3222.18935,1395.62647,5733.40352,2047.21386,3796.26189
,,,,,,,198,32404.4,2219.12738,3464.59639,1506.99684,6244.85605,2214.2264,4156.43588
,,,,,,,199,34053.9,2667.19238,4021.24089,1778.8508,7777.79833,2510.02201,5185.02143
,,,,,,,200,36433.5,3274.89481,4746.35481,2105.52003,10231.6997,2910.53199,6651.48384
,,,,,,,201,36273.7,3412.40205,4858.06377,2198.51515,10824.0501,3113.99057,6975.65401
,,,,,,,202,35933.9,3398.81362,4831.32774,2184.61896,10686.0368,3196.81796,6811.27921
,,,,,,,203,35622.2,3359.10444,4838.57128,2158.90103,10316.9271,3102.76221,6510.91031
,,,,,,,204,35092.7,3446.5516,4882.50088,2204.40386,10612.1085,3132.47724,6633.03508
,,,,,,,205,34429.0,3457.26867,4918.25112,2199.43524,10823.9019,3164.62052,6621.2228
,,,,,,,206,33881.0,3282.3501,4630.90765,2079.34655,10579.0793,2932.93769,6327.16331
,,,,,,,207,32939.0,3106.16074,4345.13235,1968.06457,10609.875,2739.29181,6235.57225
,,,,,,,208,33439.4,3194.60645,4282.8641,1961.66361,11193.8715,2636.43589,6350.19145
