1,2,3,4,5,6,7
-1.660807536355939e-33,-8.055548725227809e-20,-6.765633426950602e-20,-2.881648973666856e-20,-3.876735841379133e-20,-2.196718605803503e-33,NaN
-1.6667835521021058e-33,-8.055548725227809e-20,-6.793367870676662e-20,-2.892142773175233e-20,-3.8907313960925946e-20,-2.2046182624569892e-33,NaN
-1.672757025987856e-33,-8.055548725227809e-20,-6.819454321312855e-20,-2.9020761455795827e-20,-3.904440049988659e-20,-2.2125038394279873e-33,NaN
-1.6786440505165878e-33,-8.055548725227809e-20,-6.845352877301292e-20,-2.911999366146136e-20,-3.9178911194632005e-20,-2.2202472782107036e-33,NaN
-1.6840843222174705e-33,-8.055548725227809e-20,-6.870980125762204e-20,-2.921375904587145e-20,-3.9309203438009154e-20,-2.2274225113981914e-33,NaN
-1.6894058786281812e-33,-8.055548725227809e-20,-6.896252279038126e-20,-2.930684288891287e-20,-3.9434694832436425e-20,-2.234473094057804e-33,NaN
-1.6945694249860615e-33,-8.055548725227809e-20,-6.921115155612118e-20,-2.9396353399134955e-20,-3.955928525272989e-20,-2.2412774753068315e-33,NaN
-1.6997132414107696e-33,-8.055548725227809e-20,-6.944853763904528e-20,-2.948147572699151e-20,-3.968274885124346e-20,-2.2479899653309226e-33,NaN
-1.704777098095015e-33,-8.055548725227809e-20,-6.967340806049715e-20,-2.956216603458539e-20,-3.980235365729173e-20,-2.2546821735156747e-33,NaN
-1.7095815416162862e-33,-8.055548725227809e-20,-6.989228445012003e-20,-2.9640027746784475e-20,-3.992152958781938e-20,-2.261045818018022e-33,NaN
-1.7141325710239964e-33,-8.055548725227809e-20,-7.00937711964595e-20,-2.971623992021328e-20,-4.003754475597219e-20,-2.2670173759994135e-33,NaN
-1.7185571336399423e-33,-8.055548725227809e-20,-7.029503259593163e-20,-2.9790287300551826e-20,-4.015218183808207e-20,-2.2728609507762622e-33,NaN
-1.7229804857000798e-33,-8.055548725227809e-20,-7.049608283365025e-20,-2.98631208981104e-20,-4.026405218553552e-20,-2.278698703381196e-33,NaN
-1.727244976835678e-33,-8.055548725227809e-20,-7.069694572521753e-20,-2.993537997799587e-20,-4.0372851222294243e-20,-2.2843074811364368e-33,NaN
-1.7314167629769283e-33,-8.055548725227809e-20,-7.088668129083137e-20,-3.00064221108384e-20,-4.0479726885728834e-20,-2.2898171767168707e-33,NaN
-1.7355469447466072e-33,-8.055548725227809e-20,-7.107620236154433e-20,-3.007658780254194e-20,-4.058427645172527e-20,-2.2952673389842853e-33,NaN
-1.739655252009961e-33,-8.055548725227809e-20,-7.126356893112002e-20,-3.0145978655939294e-20,-4.068787982254606e-20,-2.3007069034970033e-33,NaN
-1.7437017103275147e-33,-8.055548725227809e-20,-7.144898554601191e-20,-3.0211480031721157e-20,-4.079003301728498e-20,-2.3060564859706487e-33,NaN
-1.7476657582922114e-33,-8.055548725227809e-20,-7.16342907591589e-20,-3.0276776102706755e-20,-4.089080848233373e-20,-2.311310001886937e-33,NaN
-1.7515883063939957e-33,-8.055548725227809e-20,-7.181934973792322e-20,-3.033997006236067e-20,-4.097356435031661e-20,-2.3164810569508823e-33,NaN
-1.7553312737062947e-33,-8.055548725227809e-20,-7.198964214690934e-20,-3.040223717353242e-20,-4.105287438822438e-20,-2.321396077711352e-33,NaN
-1.759032477547046e-33,-8.055548725227809e-20,-7.215542976207704e-20,-3.0458133361973875e-20,-4.112283868327439e-20,-2.3262902978986268e-33,NaN
-1.7627239185052866e-33,-8.055548725227809e-20,-7.231778841619001e-20,-3.051094356824249e-20,-4.1190771909379833e-20,-2.3311773843957532e-33,NaN
-1.7663159533845225e-33,-8.055548725227809e-20,-7.247062095211906e-20,-3.056276387581037e-20,-4.125708880074372e-20,-2.3359360356232413e-33,NaN
-1.7690926182974136e-33,-8.055548725227809e-20,-7.260584267431288e-20,-3.061290419082992e-20,-4.131622974698238e-20,-2.3396145896963584e-33,NaN
-1.771694674858984e-33,-8.055548725227809e-20,-7.272037538661737e-20,-3.0660596434325886e-20,-4.1372246681443446e-20,-2.342937651958835e-33,NaN
-1.7741178384672827e-33,-8.055548725227809e-20,-7.283128174143964e-20,-3.069824435574103e-20,-4.142512844894844e-20,-2.3461486514607976e-33,NaN
-1.7762755376082937e-33,-8.055548725227809e-20,-7.292642397911712e-20,-3.073126568864984e-20,-4.1476049254673255e-20,-2.3490014700161462e-33,NaN
-1.7781817100945098e-33,-8.055548725227809e-20,-7.301597832312485e-20,-3.076414805768449e-20,-4.151908374751114e-20,-2.3515276246095355e-33,NaN
-1.78001207269825e-33,-8.055548725227809e-20,-7.309972360302639e-20,-3.0796712376477815e-20,-4.156200575292254e-20,-2.3539329554003813e-33,NaN
