Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2
110,0.262,1,1,0.066868,0.038320506082332,0.035234293917668,0.7594,0.8929,0.8929,1,0.552743642,1,1
111,0.262,1,1,0.039287,0.022514472131013003,0.020701227868987,0.6235,0.876,0.876,1,0.552743642,1,1
112,0.262,1,1,0.013388,0.0076723535238120005,0.007054446476187999,0.3977,0.0827,0.0827,1,0.552743642,1,1
113,0.262,1,1,0.000397,0.00022751152890300002,0.00020918847109699997,0.1978,0.8202,0.8202,1,0.552743642,1,1
114,0.262,1,1,0.0,0.0,0.0,0.5343,0.9112,0.9112,1,0.552743642,1,1
115,0.262,1,1,0.0,0.0,0.0,0.5343,0.5803,0.5803,1,0.552743642,1,1
116,0.262,1,1,0.0,0.0,0.0,0.1296,0.3482,0.3482,1,0.552743642,1,1
117,0.262,1,1,0.0,0.0,0.0,0.3147,0.8886,0.8886,1,0.552743642,1,1
118,0.262,1,1,0.0,0.0,0.0,0.575,0.6454,0.6454,1,0.552743642,1,1
119,0.262,1,1,0.0,0.0,0.0,0.3828,0.4789,0.4789,1,0.552743642,1,1
120,0.262,1,1,0.0,0.0,0.0,0.2091,0.5087,0.5087,1,0.552743642,1,1
121,0.262,1,1,0.0,0.0,0.0,0.254,0.7613,0.7613,1,0.552743642,1,1
122,0.262,1,1,0.0,0.0,0.0,0.5167,0.1062,0.1062,1,0.552743642,1,1
123,0.262,1,1,0.0,0.0,0.0,0.1939,0.1995,0.1995,1,0.552743642,1,1
124,0.262,1,1,0.0,0.0,0.0,0.1593,0.0577,0.0577,1,0.552743642,1,1
125,0.262,1,1,0.0,0.0,0.0,0.174,0.0615,0.0615,1,0.552743642,1,1
126,0.262,1,1,0.0,0.0,0.0,0.1559,0.1375,0.1375,1,0.552743642,1,1
127,0.262,1,1,0.0,0.0,0.0,0.2124,0.869,0.869,1,0.552743642,1,1
128,0.262,1,1,0.001798,0.001030392264402,0.0009474077355979999,0.8236,0.9148,0.9148,1,0.552743642,1,1
