Time_Index,None,TEXAS_reference_naturalgas,TEXAS_reference_naturalgas_ccs90,TEXAS_reference_naturalgas_ccs100,TEXAS_uranium
267,0,4.01,4.49,4.54,0.69
268,0,4.01,4.49,4.54,0.69
269,0,4.01,4.49,4.54,0.69
270,0,4.01,4.49,4.54,0.69
271,0,4.01,4.49,4.54,0.69
272,0,4.01,4.49,4.54,0.69
273,0,4.01,4.49,4.54,0.69
274,0,4.01,4.49,4.54,0.69
275,0,4.01,4.49,4.54,0.69
276,0,4.01,4.49,4.54,0.69
277,0,4.01,4.49,4.54,0.69
278,0,4.01,4.49,4.54,0.69
279,0,4.01,4.49,4.54,0.69
280,0,4.01,4.49,4.54,0.69
281,0,4.01,4.49,4.54,0.69
282,0,4.01,4.49,4.54,0.69
283,0,4.01,4.49,4.54,0.69
284,0,4.01,4.49,4.54,0.69
285,0,4.01,4.49,4.54,0.69
286,0,4.01,4.49,4.54,0.69
287,0,4.01,4.49,4.54,0.69
288,0,4.01,4.49,4.54,0.69
289,0,4.01,4.49,4.54,0.69
290,0,4.01,4.49,4.54,0.69
291,0,4.01,4.49,4.54,0.69
292,0,4.01,4.49,4.54,0.69
293,0,4.01,4.49,4.54,0.69
294,0,4.01,4.49,4.54,0.69
295,0,4.01,4.49,4.54,0.69
296,0,4.01,4.49,4.54,0.69
297,0,4.01,4.49,4.54,0.69
298,0,4.01,4.49,4.54,0.69
299,0,4.01,4.49,4.54,0.69
300,0,4.01,4.49,4.54,0.69
301,0,4.01,4.49,4.54,0.69
302,0,4.01,4.49,4.54,0.69
303,0,4.01,4.49,4.54,0.69
304,0,4.01,4.49,4.54,0.69
305,0,4.01,4.49,4.54,0.69
306,0,4.01,4.49,4.54,0.69
307,0,4.01,4.49,4.54,0.69
308,0,4.01,4.49,4.54,0.69
309,0,4.01,4.49,4.54,0.69
310,0,4.01,4.49,4.54,0.69
311,0,4.01,4.49,4.54,0.69
312,0,4.01,4.49,4.54,0.69
313,0,4.01,4.49,4.54,0.69
314,0,4.01,4.49,4.54,0.69
315,0,4.01,4.49,4.54,0.69
316,0,4.01,4.49,4.54,0.69
317,0,4.01,4.49,4.54,0.69
318,0,4.01,4.49,4.54,0.69
319,0,4.01,4.49,4.54,0.69
320,0,4.01,4.49,4.54,0.69
321,0,4.01,4.49,4.54,0.69
322,0,4.01,4.49,4.54,0.69
323,0,4.01,4.49,4.54,0.69
324,0,4.01,4.49,4.54,0.69
325,0,4.01,4.49,4.54,0.69
326,0,4.01,4.49,4.54,0.69
327,0,4.01,4.49,4.54,0.69
328,0,4.01,4.49,4.54,0.69
329,0,4.01,4.49,4.54,0.69
330,0,4.01,4.49,4.54,0.69
331,0,4.01,4.49,4.54,0.69
332,0,4.01,4.49,4.54,0.69
333,0,4.01,4.49,4.54,0.69
334,0,4.01,4.49,4.54,0.69
335,0,4.01,4.49,4.54,0.69
336,0,4.01,4.49,4.54,0.69
337,0,4.01,4.49,4.54,0.69
338,0,4.01,4.49,4.54,0.69
339,0,4.01,4.49,4.54,0.69
340,0,4.01,4.49,4.54,0.69
341,0,4.01,4.49,4.54,0.69
342,0,4.01,4.49,4.54,0.69
343,0,4.01,4.49,4.54,0.69
344,0,4.01,4.49,4.54,0.69
345,0,4.01,4.49,4.54,0.69
346,0,4.01,4.49,4.54,0.69
347,0,4.01,4.49,4.54,0.69
348,0,4.01,4.49,4.54,0.69
349,0,4.01,4.49,4.54,0.69
350,0,4.01,4.49,4.54,0.69
351,0,4.01,4.49,4.54,0.69
352,0,4.01,4.49,4.54,0.69
353,0,4.01,4.49,4.54,0.69
354,0,4.01,4.49,4.54,0.69
355,0,4.01,4.49,4.54,0.69
356,0,4.01,4.49,4.54,0.69
357,0,4.01,4.49,4.54,0.69
358,0,4.01,4.49,4.54,0.69
359,0,4.01,4.49,4.54,0.69
360,0,4.01,4.49,4.54,0.69
361,0,4.01,4.49,4.54,0.69
362,0,4.01,4.49,4.54,0.69
363,0,4.01,4.49,4.54,0.69
364,0,4.01,4.49,4.54,0.69
365,0,4.01,4.49,4.54,0.69
366,0,4.01,4.49,4.54,0.69
367,0,4.01,4.49,4.54,0.69
368,0,4.01,4.49,4.54,0.69
369,0,4.01,4.49,4.54,0.69
370,0,4.01,4.49,4.54,0.69
371,0,4.01,4.49,4.54,0.69
372,0,4.01,4.49,4.54,0.69
373,0,4.01,4.49,4.54,0.69
374,0,4.01,4.49,4.54,0.69
375,0,4.01,4.49,4.54,0.69
376,0,4.01,4.49,4.54,0.69
377,0,4.01,4.49,4.54,0.69
378,0,4.01,4.49,4.54,0.69
379,0,4.01,4.49,4.54,0.69
380,0,4.01,4.49,4.54,0.69
381,0,4.01,4.49,4.54,0.69
382,0,4.01,4.49,4.54,0.69
383,0,4.01,4.49,4.54,0.69
384,0,4.01,4.49,4.54,0.69
385,0,4.01,4.49,4.54,0.69
386,0,4.01,4.49,4.54,0.69
387,0,4.01,4.49,4.54,0.69
388,0,4.01,4.49,4.54,0.69
389,0,4.01,4.49,4.54,0.69
390,0,4.01,4.49,4.54,0.69
391,0,4.01,4.49,4.54,0.69
392,0,4.01,4.49,4.54,0.69
393,0,4.01,4.49,4.54,0.69
394,0,4.01,4.49,4.54,0.69
395,0,4.01,4.49,4.54,0.69
396,0,4.01,4.49,4.54,0.69
397,0,4.01,4.49,4.54,0.69
398,0,4.01,4.49,4.54,0.69
399,0,4.01,4.49,4.54,0.69
400,0,4.01,4.49,4.54,0.69
401,0,4.01,4.49,4.54,0.69
402,0,4.01,4.49,4.54,0.69
403,0,4.01,4.49,4.54,0.69
404,0,4.01,4.49,4.54,0.69
405,0,4.01,4.49,4.54,0.69
406,0,4.01,4.49,4.54,0.69
407,0,4.01,4.49,4.54,0.69
408,0,4.01,4.49,4.54,0.69
409,0,4.01,4.49,4.54,0.69
410,0,4.01,4.49,4.54,0.69
411,0,4.01,4.49,4.54,0.69
412,0,4.01,4.49,4.54,0.69
413,0,4.01,4.49,4.54,0.69
414,0,4.01,4.49,4.54,0.69
415,0,4.01,4.49,4.54,0.69
416,0,4.01,4.49,4.54,0.69
417,0,4.01,4.49,4.54,0.69
418,0,4.01,4.49,4.54,0.69
419,0,4.01,4.49,4.54,0.69
420,0,4.01,4.49,4.54,0.69
421,0,4.01,4.49,4.54,0.69
422,0,4.01,4.49,4.54,0.69
423,0,4.01,4.49,4.54,0.69
424,0,4.01,4.49,4.54,0.69
425,0,4.01,4.49,4.54,0.69
426,0,4.01,4.49,4.54,0.69
427,0,4.01,4.49,4.54,0.69
428,0,4.01,4.49,4.54,0.69
429,0,4.01,4.49,4.54,0.69
430,0,4.01,4.49,4.54,0.69
431,0,4.01,4.49,4.54,0.69
432,0,4.01,4.49,4.54,0.69
433,0,4.01,4.49,4.54,0.69
434,0,4.01,4.49,4.54,0.69
435,0,4.01,4.49,4.54,0.69
436,0,4.01,4.49,4.54,0.69
437,0,4.01,4.49,4.54,0.69
438,0,4.01,4.49,4.54,0.69
439,0,4.01,4.49,4.54,0.69
440,0,4.01,4.49,4.54,0.69
441,0,4.01,4.49,4.54,0.69
442,0,4.01,4.49,4.54,0.69
443,0,4.01,4.49,4.54,0.69
444,0,4.01,4.49,4.54,0.69
445,0,4.01,4.49,4.54,0.69
446,0,4.01,4.49,4.54,0.69
447,0,4.01,4.49,4.54,0.69
448,0,4.01,4.49,4.54,0.69
449,0,4.01,4.49,4.54,0.69
450,0,4.01,4.49,4.54,0.69
451,0,4.01,4.49,4.54,0.69
452,0,4.01,4.49,4.54,0.69
453,0,4.01,4.49,4.54,0.69
454,0,4.01,4.49,4.54,0.69
455,0,4.01,4.49,4.54,0.69
456,0,4.01,4.49,4.54,0.69
457,0,4.01,4.49,4.54,0.69
458,0,4.01,4.49,4.54,0.69
459,0,4.01,4.49,4.54,0.69
460,0,4.01,4.49,4.54,0.69
461,0,4.01,4.49,4.54,0.69
462,0,4.01,4.49,4.54,0.69
463,0,4.01,4.49,4.54,0.69
464,0,4.01,4.49,4.54,0.69
465,0,4.01,4.49,4.54,0.69
466,0,4.01,4.49,4.54,0.69
467,0,4.01,4.49,4.54,0.69
468,0,4.01,4.49,4.54,0.69
