Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,910,58116
,,,,,,,,911,56088
,,,,,,,,912,52685
,,,,,,,,913,49274
,,,,,,,,914,46996
,,,,,,,,915,46195
,,,,,,,,916,46162
,,,,,,,,917,46638
,,,,,,,,918,48573
,,,,,,,,919,53308
,,,,,,,,920,60392
,,,,,,,,921,62407
,,,,,,,,922,61137
,,,,,,,,923,61084
,,,,,,,,924,60503
,,,,,,,,925,59202
,,,,,,,,926,57880
,,,,,,,,927,56899
,,,,,,,,928,55951
,,,,,,,,929,55503
,,,,,,,,930,55712
,,,,,,,,931,57390
,,,,,,,,932,61611
,,,,,,,,933,62711
,,,,,,,,934,62420
,,,,,,,,935,60509
,,,,,,,,936,56762
,,,,,,,,937,53204
,,,,,,,,938,51017
,,,,,,,,939,50396
,,,,,,,,940,50421
,,,,,,,,941,51160
,,,,,,,,942,53151
,,,,,,,,943,57850
,,,,,,,,944,65002
,,,,,,,,945,66825
,,,,,,,,946,64370
,,,,,,,,947,62543
,,,,,,,,948,60752
,,,,,,,,949,58494
,,,,,,,,950,56483
,,,,,,,,951,55027
,,,,,,,,952,53873
,,,,,,,,953,53465
,,,,,,,,954,53943
,,,,,,,,955,55941
,,,,,,,,956,59868
,,,,,,,,957,60371
,,,,,,,,958,59797
,,,,,,,,959,57512
,,,,,,,,960,53805
,,,,,,,,961,49883
,,,,,,,,962,47310
,,,,,,,,963,46153
,,,,,,,,964,45707
,,,,,,,,965,45912
,,,,,,,,966,47165
,,,,,,,,967,51108
,,,,,,,,968,57438
,,,,,,,,969,59882
,,,,,,,,970,59244
,,,,,,,,971,59171
,,,,,,,,972,58588
,,,,,,,,973,57190
,,,,,,,,974,55663
,,,,,,,,975,54621
,,,,,,,,976,53460
,,,,,,,,977,52579
,,,,,,,,978,53080
,,,,,,,,979,53311
,,,,,,,,980,56786
,,,,,,,,981,58005
,,,,,,,,982,58107
,,,,,,,,983,57794
,,,,,,,,984,56295
,,,,,,,,985,54415
,,,,,,,,986,52758
,,,,,,,,987,52339
,,,,,,,,988,52537
,,,,,,,,989,53253
,,,,,,,,990,54673
,,,,,,,,991,57403
,,,,,,,,992,61284
,,,,,,,,993,64640
,,,,,,,,994,66798
,,,,,,,,995,67263
,,,,,,,,996,65450
,,,,,,,,997,63109
,,,,,,,,998,60275
,,,,,,,,999,57637
,,,,,,,,1000,55558
,,,,,,,,1001,54513
,,,,,,,,1002,55020
,,,,,,,,1003,58042
,,,,,,,,1004,63590
,,,,,,,,1005,65846
,,,,,,,,1006,66409
,,,,,,,,1007,65809
,,,,,,,,1008,64104
,,,,,,,,1009,62093
,,,,,,,,1010,60449
,,,,,,,,1011,59587
,,,,,,,,1012,59298
,,,,,,,,1013,59678
,,,,,,,,1014,60486
,,,,,,,,1015,62221
,,,,,,,,1016,64732
,,,,,,,,1017,66652
,,,,,,,,1018,68244
,,,,,,,,1019,68514
,,,,,,,,1020,67243
,,,,,,,,1021,65024
,,,,,,,,1022,63273
,,,,,,,,1023,62228
,,,,,,,,1024,61304
,,,,,,,,1025,60975
,,,,,,,,1026,61868
,,,,,,,,1027,64200
,,,,,,,,1028,67834
,,,,,,,,1029,68897
,,,,,,,,1030,68245
,,,,,,,,1031,66254
,,,,,,,,1032,62778
,,,,,,,,1033,58904
,,,,,,,,1034,56336
,,,,,,,,1035,55125
,,,,,,,,1036,54701
,,,,,,,,1037,54922
,,,,,,,,1038,56713
,,,,,,,,1039,60857
,,,,,,,,1040,67414
