Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,230,0,10418.4006,4258.9948,1887.42176,2931.90638,2806.18102,6005.72955
,,,,,,,231,0,10500.8345,3999.50929,1822.13181,2869.07447,2598.5545,6002.30913
,,,,,,,232,0,11256.4455,3951.87742,1869.98022,2986.28127,2578.52973,6417.33934
,,,,,,,233,0,12301.7014,4257.03923,2018.29176,3225.60273,2768.01537,7045.29394
,,,,,,,234,0,13562.5896,4712.08601,2167.96199,3521.69527,3010.0268,7719.80154
,,,,,,,235,0,13364.3077,4682.28563,2179.13276,3479.41795,3090.16932,7772.80906
,,,,,,,236,0,11670.2135,4435.95816,2013.86144,3154.76301,2922.90908,6916.35992
,,,,,,,237,0,11194.703,4287.37808,1961.10581,3027.79101,2841.97683,6672.3947
,,,,,,,238,0,8991.15207,3727.00192,1705.53151,2535.31806,2552.85911,5376.41463
,,,,,,,239,0,7964.32129,3489.69605,1572.73062,2296.79978,2422.73546,4757.19388
,,,,,,,240,0,7209.83364,3272.29342,1470.09958,2138.34954,2229.33498,4356.20417
,,,,,,,241,0,6275.16374,3088.32738,1367.14954,1994.5012,2016.9222,3914.09926
,,,,,,,242,0,5904.81092,3031.73518,1333.34287,1929.38111,1960.49652,3680.38315
,,,,,,,243,0,5672.06133,3068.76058,1326.27937,1918.10502,1975.788,3578.39041
,,,,,,,244,0,5644.76292,3152.93207,1332.94674,1958.75386,1994.52904,3631.35319
,,,,,,,245,0,5642.23095,3238.38093,1361.14462,2013.05129,2064.6884,3698.18737
,,,,,,,246,0,6158.99869,3487.12315,1486.26206,2203.41073,2216.05048,4078.91997
,,,,,,,247,0,7592.25638,4066.14706,1741.66281,2620.1707,2543.49128,5099.90047
,,,,,,,248,0,10000.9623,4793.2554,2058.35027,3196.51091,2963.50032,6518.12548
,,,,,,,249,0,10575.8646,4945.22015,2181.33161,3359.37764,3065.66357,6748.75775
,,,,,,,250,0,10488.7857,4933.6821,2154.06353,3387.07863,3109.54166,6619.43932
,,,,,,,251,0,10174.0102,4840.34614,2140.12788,3320.503,3078.76112,6281.05902
,,,,,,,252,0,10493.5618,4828.12224,2166.87345,3351.7478,3144.78634,6441.9
,,,,,,,253,0,10761.9892,4843.43876,2168.03223,3364.67866,3139.98503,6446.0582
,,,,,,,254,0,10633.5576,4472.28797,1999.73521,3239.50014,2994.2021,6226.69583
,,,,,,,255,0,10806.1143,4389.84549,1977.31914,3189.61334,2837.36041,6217.62625
,,,,,,,256,0,11534.002,4422.01703,1966.0683,3261.59012,2748.30804,6508.30102
,,,,,,,257,0,12583.9614,4694.00186,2124.86782,3485.83405,2936.39781,7131.77635
,,,,,,,258,0,13764.8133,5083.58597,2295.47097,3764.57293,3181.29222,7784.00366
,,,,,,,259,0,13658.3924,5020.71577,2299.69812,3754.98888,3258.4064,7819.57374
,,,,,,,260,0,12015.6632,4699.13789,2109.97512,3400.64615,3074.1476,7042.98919
,,,,,,,261,0,11514.9166,4563.97119,2039.16148,3197.58565,3010.36827,6788.51518
,,,,,,,262,0,9267.92376,3835.8143,1732.40896,2749.15005,2658.63939,5545.23647
,,,,,,,263,0,8152.2912,3583.02428,1607.6519,2378.78773,2437.72611,4924.10937
,,,,,,,264,0,7346.90101,3372.41925,1489.92907,2181.54576,2264.11112,4459.16017
,,,,,,,265,0,6297.85505,3028.85099,1343.72343,2081.58761,2042.34384,3905.14372
,,,,,,,266,0,5842.45211,2899.94426,1273.53007,1862.88245,1946.61484,3629.47442
,,,,,,,267,0,5560.02432,2976.6702,1265.33602,1806.93482,1905.49767,3486.06015
,,,,,,,268,0,5462.48822,2972.36003,1230.48047,1791.80981,1885.5964,3462.50702
,,,,,,,269,0,5401.20233,3008.24779,1239.299,1802.42016,1900.78394,3323.42612
,,,,,,,270,0,5845.35326,3177.19576,1318.62307,1998.22743,2007.05354,3607.8919
,,,,,,,271,0,7222.58542,3635.44004,1535.83246,2339.82143,2300.0775,4468.5932
,,,,,,,272,0,9467.76553,4232.75615,1815.72211,2823.65469,2667.93491,5881.62583
,,,,,,,273,0,10119.8515,4388.83974,1875.7094,2944.1097,2754.22385,6116.87788
,,,,,,,274,0,10219.9349,4390.14621,1867.76499,2994.84444,2788.62271,6095.3641
,,,,,,,275,0,10032.5473,4369.16616,1846.88938,3000.27953,2767.98677,5937.30735
,,,,,,,276,0,10437.1064,4462.23605,1924.40399,3110.34905,2803.57532,6150.19571
,,,,,,,277,0,10835.8604,4560.83323,1996.63752,3242.46363,2833.90867,6257.58727
,,,,,,,278,0,10874.1754,4454.07916,1932.55272,3179.50296,2798.34177,6210.35193
,,,,,,,279,0,11149.6557,4442.74472,1910.7625,3181.53025,2777.39137,6300.52256
,,,,,,,280,0,11974.7659,4626.22513,1982.01733,3344.47429,2847.49664,6792.98029
,,,,,,,281,0,12976.3302,4827.80738,2110.23274,3561.23103,3058.63892,7395.89529
,,,,,,,282,0,14013.5773,5091.23669,2237.96062,3781.0703,3207.10172,7993.8071
,,,,,,,283,0,13496.2838,5007.91312,2231.99891,3748.34441,3163.8714,7772.03294
,,,,,,,284,0,11724.7732,4631.9903,2036.67582,3344.7225,2996.9631,6866.20213
,,,,,,,285,0,11136.9571,4428.03994,1929.78592,3149.29273,2856.07401,6566.98153
