Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,,Net+Recirc-Gross,Recirc-heating-fixed-var-magnet
1.99E-05,8216.811025,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.364102499,28341.93092,0.249831978,29247.50753,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.366282492,28344.16458,0.252325975,29194.96673,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.13E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.368428835,28348.996,0.254551246,29137.06861,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.13E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.370509394,28358.44274,0.256441834,29064.95997,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.14E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.372442926,28379.55938,0.257973938,28987.72329,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.44E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.374216133,28402.58597,0.259128769,28906.43812,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.44E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.375695009,28444.86077,0.259881497,28819.80375,42.10523599,,,
2.00E-05,8216.811026,11447.05026,3230.239233,2.18E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.376844128,28492.22434,0.260228454,28732.37885,42.10523599,,,
2.01E-05,8216.811026,11447.05026,3230.239233,2.14E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.377862786,28510.96221,0.260102064,28630.39437,42.10523599,,,
2.01E-05,8216.811025,11447.05026,3230.239233,2.13E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.378829065,28518.48462,0.259498678,28527.62382,42.10523599,,,
2.01E-05,8216.811025,11447.05026,3230.239233,2.07E-07,421.0523599,2388.134513,28657.62562,28617.62564,0.379553198,28553.26477,0.258507848,28444.14768,42.10523599,,,
2.01E-05,8216.811026,11447.05026,3230.239233,2.07E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.379933122,28602.70467,0.257200177,28375.8829,42.10523599,,,
2.01E-05,8216.811026,11447.05026,3230.239233,2.07E-07,421.05236,2388.134513,28657.62562,28617.62565,0.380042489,28641.56621,0.255625693,28318.39703,42.105236,,,
2.01E-05,8216.811026,11447.05026,3230.239233,2.07E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.380361859,28611.40199,0.253725024,28248.11951,42.10523599,,,
2.01E-05,8216.811025,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.380857974,28586.0149,0.251531865,28185.10116,42.10523599,,,
2.01E-05,8216.811026,11447.05026,3230.239233,2.14E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.381514245,28563.01019,0.249037384,28120.18025,42.10523599,,,
2.00E-05,8216.811025,11447.05026,3230.239233,2.14E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.38238802,28531.7682,0.246266091,28060.53999,42.10523599,,,
2.00E-05,8216.811025,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.383372329,28515.89081,0.243345414,28028.35485,42.10523599,,,
2.00E-05,8216.811026,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.384521645,28492.18899,0.240390417,28020.96021,42.10523599,,,
