Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
52711,0.262,1,0.0,0.0,0.0,0.504723053,1,0.81,0.81,1,1,0.552743642,1,1
52712,0.262,1,0.064304421,0.03685138,0.033883483,0.534695269,1,0.81,0.81,1,1,0.552743642,1,1
52713,0.262,1,0.298798143,0.17123432,0.157443637,0.485878057,1,0.81,0.81,1,1,0.552743642,1,1
52714,0.262,1,0.485477002,0.278215667,0.255809036,0.454772735,1,0.807775845,0.807775845,1,1,0.552743642,1,1
52715,0.262,1,0.700940347,0.401692737,0.369341644,0.42131688,1,0.752675589,0.752675589,1,1,0.552743642,1,1
52716,0.262,1,0.752369725,0.431165727,0.39644097,0.293517956,1,0.485001729,0.485001729,1,1,0.552743642,1,1
52717,0.262,1,0.820405934,0.470155708,0.432290819,0.112006277,1,0.24032743,0.24032743,1,1,0.552743642,1,1
52718,0.262,1,0.78470242,0.449694848,0.413477814,0.048755765,1,0.07541336,0.07541336,1,1,0.552743642,1,1
52719,0.262,1,0.596590745,0.341892388,0.314357431,0.048210176,1,0.028032167,0.028032167,1,1,0.552743642,1,1
52720,0.262,1,0.31070388,0.178057224,0.163717044,0.029746045,1,0.009509963,0.009509963,1,1,0.552743642,1,1
52721,0.262,1,0.0,0.0,0.0,0.071414025,1,0.002698312,0.002698312,1,1,0.552743642,1,1
52722,0.262,1,0.0,0.0,0.0,0.073205278,1,0.007996768,0.007996768,1,1,0.552743642,1,1
52723,0.262,1,0.0,0.0,0.0,0.11298733,1,0.011114963,0.011114963,1,1,0.552743642,1,1
52724,0.262,1,0.0,0.0,0.0,0.074123755,1,0.030985828,0.030985828,1,1,0.552743642,1,1
52725,0.262,1,0.0,0.0,0.0,0.135355786,1,0.067765462,0.067765462,1,1,0.552743642,1,1
52726,0.262,1,0.0,0.0,0.0,0.117521363,1,0.104179697,0.104179697,1,1,0.552743642,1,1
52727,0.262,1,0.0,0.0,0.0,0.159617825,1,0.159545826,0.159545826,1,1,0.552743642,1,1
52728,0.262,1,0.0,0.0,0.0,0.237493496,1,0.297788187,0.297788187,1,1,0.552743642,1,1
52729,0.262,1,0.0,0.0,0.0,0.282982448,1,0.539563491,0.539563491,1,1,0.552743642,1,1
52730,0.262,1,0.0,0.0,0.0,0.28293493,1,0.73080164,0.73080164,1,1,0.552743642,1,1
52731,0.262,1,0.0,0.0,0.0,0.339301301,1,0.7908624,0.7908624,1,1,0.552743642,1,1
52732,0.262,1,0.0,0.0,0.0,0.428716426,1,0.81,0.81,1,1,0.552743642,1,1
52733,0.262,1,0.0,0.0,0.0,0.529344572,1,0.81,0.81,1,1,0.552743642,1,1
52734,0.262,1,0.0,0.0,0.0,0.553492237,1,0.81,0.81,1,1,0.552743642,1,1
52735,0.262,1,0.0,0.0,0.0,0.738800415,1,0.81,0.81,1,1,0.552743642,1,1
52736,0.262,1,0.000184365,0.000105655,9.71462e-5,0.769010106,1,0.81,0.81,1,1,0.552743642,1,1
52737,0.262,1,0.014187909,0.008130763,0.007475937,0.756533907,1,0.566325,0.566325,1,1,0.552743642,1,1
52738,0.262,1,0.028404658,0.016278054,0.01496707,0.706542442,1,0.5535,0.5535,1,1,0.552743642,1,1
52739,0.262,1,0.048863526,0.028002559,0.025747319,0.763953171,1,0.4293,0.4293,1,1,0.552743642,1,1
52740,0.262,1,0.048932933,0.028042335,0.025783892,0.70544513,1,0.483975,0.483975,1,1,0.552743642,1,1
52741,0.262,1,0.06473855,0.037100169,0.034112236,0.540830489,1,0.6615,0.6615,1,1,0.552743642,1,1
52742,0.262,1,0.032077507,0.018382879,0.016902379,0.63871066,1,0.783,0.783,1,1,0.552743642,1,1
52743,0.262,1,0.045045406,0.025814483,0.023735464,0.533314345,1,0.81,0.81,1,1,0.552743642,1,1
52744,0.262,1,0.04963371,0.028443934,0.026153147,0.479410112,1,0.81,0.81,1,1,0.552743642,1,1
52745,0.262,1,0.0,0.0,0.0,0.516995233,1,0.809416326,0.809416326,1,1,0.552743642,1,1
52746,0.262,1,0.0,0.0,0.0,0.563673492,1,0.81,0.81,1,1,0.552743642,1,1
52747,0.262,1,0.0,0.0,0.0,0.521853316,1,0.81,0.81,1,1,0.552743642,1,1
52748,0.262,1,0.0,0.0,0.0,0.511050832,1,0.81,0.81,1,1,0.552743642,1,1
52749,0.262,1,0.0,0.0,0.0,0.490107252,1,0.81,0.81,1,1,0.552743642,1,1
52750,0.262,1,0.0,0.0,0.0,0.498491209,1,0.81,0.81,1,1,0.552743642,1,1
52751,0.262,1,0.0,0.0,0.0,0.512185998,1,0.81,0.81,1,1,0.552743642,1,1
52752,0.262,1,0.0,0.0,0.0,0.495648856,1,0.81,0.81,1,1,0.552743642,1,1
52753,0.262,1,0.0,0.0,0.0,0.584854401,1,0.81,0.81,1,1,0.552743642,1,1
52754,0.262,1,0.0,0.0,0.0,0.570172655,1,0.81,0.81,1,1,0.552743642,1,1
52755,0.262,1,0.0,0.0,0.0,0.625552891,1,0.81,0.81,1,1,0.552743642,1,1
52756,0.262,1,0.0,0.0,0.0,0.561823248,1,0.81,0.81,1,1,0.552743642,1,1
52757,0.262,1,0.0,0.0,0.0,0.618280401,1,0.81,0.81,1,1,0.552743642,1,1
52758,0.262,1,0.0,0.0,0.0,0.573825662,1,0.81,0.81,1,1,0.552743642,1,1
52759,0.262,1,0.0,0.0,0.0,0.577024284,1,0.81,0.81,1,1,0.552743642,1,1
52760,0.262,1,0.059960244,0.034361832,0.031594436,0.540651942,1,0.81,0.81,1,1,0.552743642,1,1
52761,0.262,1,0.290229594,0.166323883,0.152928671,0.585203573,1,0.81,0.81,1,1,0.552743642,1,1
52762,0.262,1,0.524323432,0.300477659,0.276278116,0.615373089,1,0.81,0.81,1,1,0.552743642,1,1
52763,0.262,1,0.721293327,0.41335656,0.380066099,0.597374991,1,0.81,0.81,1,1,0.552743642,1,1
52764,0.262,1,0.800354245,0.458664548,0.421725121,0.625585042,1,0.81,0.81,1,1,0.552743642,1,1
52765,0.262,1,0.742459459,0.425486382,0.391219023,0.621213548,1,0.81,0.81,1,1,0.552743642,1,1
52766,0.262,1,0.670919437,0.384488447,0.353522934,0.467821885,1,0.808443778,0.808443778,1,1,0.552743642,1,1
52767,0.262,1,0.415889417,0.238336627,0.219141731,0.430807447,1,0.804430614,0.804430614,1,1,0.552743642,1,1
52768,0.262,1,0.227812647,0.130554171,0.120039741,0.40641655,1,0.800141769,0.800141769,1,1,0.552743642,1,1
52769,0.262,1,0.0,0.0,0.0,0.367888871,1,0.804969247,0.804969247,1,1,0.552743642,1,1
52770,0.262,1,0.0,0.0,0.0,0.296104157,1,0.804093878,0.804093878,1,1,0.552743642,1,1
52771,0.262,1,0.0,0.0,0.0,0.319570999,1,0.801453147,0.801453147,1,1,0.552743642,1,1
52772,0.262,1,0.0,0.0,0.0,0.369730875,1,0.782582771,0.782582771,1,1,0.552743642,1,1
52773,0.262,1,0.0,0.0,0.0,0.3626428,1,0.723085735,0.723085735,1,1,0.552743642,1,1
52774,0.262,1,0.0,0.0,0.0,0.394323299,1,0.602272597,0.602272597,1,1,0.552743642,1,1
52775,0.262,1,0.0,0.0,0.0,0.409051354,1,0.501473188,0.501473188,1,1,0.552743642,1,1
52776,0.262,1,0.0,0.0,0.0,0.40856908,1,0.532431564,0.532431564,1,1,0.552743642,1,1
